CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days 2,Beg 2,End 2,Location,Limit,Enr,Av Seats,Additional Info,General Education
,,,,,,,,,,,,,,,,,,
American Studies,,,,,,,,,,,,,,,,,,
15928,RELG,164,B,Studying Asian Religions (in the West),4,S Brown,MWF,1000,1050,,,,Walsh-Ellett Hall 208,22,21,Available: 1,Community Engagement; Consent of professor required for late entry,G3: Seeking Meaning
,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,,,,,,,
15718,BIOL,118,A,Current Issues in Biology,4,B Kuhajda,M,1300,1700,,,,Woods Laboratories 113,20,18,Available: 2,Non-Lab Science; Reserved Seats: new first-year students-6 (none available); Consent of professor required for late entry,G5: Observing-Experimenting-Modeling
15719,BIOL,130,A,Field Investigations in Biology,4,M Schrader,M,1330,1700,,,,Woods Laboratories G10,20,19,Closed: 1 Reserved // Waitlist: 3,Non-Lab Science; Reserved Seats: new first-year students-8 (none available); Consent of professor required for late entry,G5E: Observing-Experimenting-Modeling (Experimental/Experiential)
15720,BIOL,130,B,Field Investigations in Biology,4,D Neely,T,1330,1700,,,,Woods Laboratories G10,20,20,Closed // Waitlist: 4,Non-Lab Science; Reserved Seats: new first-year students-9 (none available); Consent of professor required for late entry,G5E: Observing-Experimenting-Modeling (Experimental/Experiential)
15721,BIOL,130,C,Field Investigations in Biology,4,M Schrader,W,1330,1700,,,,Woods Laboratories G10,20,20,Closed // Waitlist: 2,Non-Lab Science; Reserved Seats: new first-year students-8 (none available); Consent of professor required for late entry,G5E: Observing-Experimenting-Modeling (Experimental/Experiential)
15722,BIOL,130,D,Field Investigations in Biology,4,K McGhee,R,1330,1700,,,,Woods Laboratories G10,20,20,Closed // Waitlist: 6,Non-Lab Science; Reserved Seats: new first-year students-10 (none available); Consent of professor required for late entry,G5E: Observing-Experimenting-Modeling (Experimental/Experiential)
15723,BIOL,133,A,Introductory Molecular Biology and Genetics,4,C World,MWF,1100,1150,,,,Woods Laboratories 113,25,23,Available: 2,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: new first-year students-10 (none available); Consent of professor required for late entry,G5: Observing-Experimenting-Modeling
15724,BIOL,133,B,Introductory Molecular Biology and Genetics,4,N Berner,MWF,900,950,,,,Woods Laboratories 324,25,21,Available: 4,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: new first-year students-10 (none available); Consent of professor required for late entry,G5: Observing-Experimenting-Modeling
15725,BIOL,133,C,Introductory Molecular Biology and Genetics,4,K Zigler,MWF,1200,1250,,,,Woods Laboratories 113,25,21,Available: 4,Non-Lab Science; Open only to freshmen and sophomores; Reserved Seats: new first-year students-9 (none available); Consent of professor required for late entry,G5: Observing-Experimenting-Modeling
15726,BIOL,210,A,Ecology (Lab),4,K Cecala,TR,930,1045,M,1330,1630,Spencer Hall 151,16,16,Closed // Waitlist: 0,Lab Science; GMWI: Upper-Level (Major) Writing Intensive; Prerequisite: BIOL 130; Consent of professor required for late entry,
15727,BIOL,213,A,Evolutionary Biology,4,M Schrader,MWF,900,950,,,,Woods Laboratories 123,20,20,Closed // Waitlist: 2,Non-Lab Science; Prerequisite: BIOL 130; Consent of professor required for late entry,
15806,BIOL,218,A,Principles of Animal Nutrition and Metabolism,4,C Gray,TR,930,1045,,,,Spencer Hall 168,20,20,Closed // Waitlist: 1,Prerequisite: BIOL 133; Consent of professor required for late entry,
15728,BIOL,223,A,Genetics (Lab),0,K Zigler/E Kikis,MWF,1000,1050,T,1330,1630,Woods Laboratories 324,16,16,Closed // Waitlist: 5,GMWI: Upper-Level (Major) Writing Intensive; Prerequisite: BIOL 133; Consent of professor required for late entry,
15729,BIOL,232,A,Human Health and the Environment (Lab),4,D McGrath,MWF,1000,1050,W,1330,1630,Spencer Hall 164,16,16,Closed // Waitlist: 1,Lab Science; Prerequisite: BIOL 130; Consent of professor required for late entry,
15730,BIOL,233,A,Molecular Cell Biology,4,E Kikis,MWF,1200,1250,,,,Spencer Hall 172,32,32,Closed // Waitlist: 3,Non-Lab Science; GMWI: Upper-Level (Major) Writing Intensive; Prerequisite: BIOL 133; Pre- or Corequisite: (CHEM 120 or CHEM 150); Consent of professor required for late entry,G5: Observing-Experimenting-Modeling
15731,BIOL,241,A,Rainforests and Coral Reefs,2,J Evans,W,1330,1630,,,,Spencer Hall 151,12,11,Available: 1,Prerequisites: Approval of the Field Study in Belize program director; Corequisite: BIOL 241; Consent of professor required for late entry,
15732,BIOL,243,A,Molecular Methods (Lab),4,C Smith,TR,930,1045,R,1330,1630,Spencer Hall 164,16,11,Available: 5,GMWI: Upper-Level (Major) Writing Intensive; Prerequisites: BIOL 133 and (CHEM 120 or CHEM 150); Consent of professor required for late entry,
15733,BIOL,251,A,Field Study in Belize (Lab),2,J Evans,TBA,1330,1630,,,,TBA,12,11,Available: 1,Lab Science; Prerequisites: Approval of the Field Study in Belize program director; Corequisite: BIOL 251,
15995,BIOL,270,A,Human Anatomy (Lab),4,A Ortega,TR,1100,1215,R,1330,1630,Spencer Hall 164,16,16,Closed // Waitlist: 9,Lab Science; Prerequisite: BIOL 133; Consent of professor required for late entry,
15807,BIOL,275,A,Histology and Microanatomy,4,B Moore,TR,800,915,TR,930,1045,Woods Laboratories 128,16,9,Available: 7,Lab Science; Prerequisites: One course in biology and CHEM 120 or CHEM 150.; Consent of professor required for late entry,G5E: Observing-Experimenting-Modeling (Experimental/Experiential)
15716,BIOL,316,A,Biochemistry of Metabolism and Molecular Biology (Lab),4,E Kikis,MWF,800,850,,,,Spencer Hall 164,16,12,Available: 4,Lab Science; Prerequisites: BIOL 233 and BIOL 243 and CHEM 202; Consent of professor required for late entry,
15922,BIOL,316,L1,Biochemistry of Metabolism and Molecular Biology (Lab),0,C Smith,W,1330,1630,,,,Spencer Hall 272,16,12,Available: 4,Lab Science; Prerequisites: BIOL 233 and BIOL 243 and CHEM 202,
15734,BIOL,322,A,Genes and Behavior,4,K McGhee,MWF,1100,1150,,,,Spencer Hall 172,20,20,Closed // Waitlist: 1,Prerequisites: BIOL 130 and BIOL 133; Consent of professor required for late entry,
16000,BIOL,388,A,Epigenetics,4,A Summers,M,1300,1530,,,,Spencer Hall 151,16,4,Available: 12,Non-Lab Science; Prerequisite: BIOL 233; Consent of professor required for late entry,
,,,,,,,,,,,,,,,,,,
Business,,,,,,,,,,,,,,,,,,
15929,BUSI,215,A,Fundamentals of Financial Accounting,4,C Heinemann,MW,1400,1515,,,,Walsh-Ellett Hall 306,30,30,Closed // Waitlist: 4,Consent of professor required for late entry,
