CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days.2,Beg.2,End.2,Location,Limit,Enr,Av.Seats,Additional.Info,General.Education
American Studies,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10397,BIOL,132,A,Cellular, Molecular and Physiological Biology (Lab),0,H Croom/N Berner,MWF,1100,1150,M,1330,1630,Woods Laboratories 113,20,20,Closed,Lab Science,NA
10398,BIOL,132,B,Cellular, Molecular and Physiological Biology (Lab),0,H Croom/J Palisano,MWF,1100,1150,T,1330,1630,Woods Laboratories 113,20,16,Available: 4,Lab Science,NA
10399,BIOL,203,A,Comparative Vertebrate Anatomy (Lab),4,N Berner,MWF,900,1050,,NA,NA,Woods Laboratories 128,16,11,Available: 5,Lab Science; Prerequisites: BIOL 131 or BIOL 132,NA
10707,BIOL,213,A,Evolutionary Biology,4,D Haskell,TR,800,915,,NA,NA,Woods Laboratories 103,16,14,Available: 2,Non-Lab Science; Prerequisites: BIOL 131 and BIOL 132,NA
10401,BIOL,221,A,Environmental Physiology of Plants (Lab),4,D McGrath,MWF,1100,1150,M,1330,1630,Woods Laboratories 128,16,12,Available: 4,Lab Science; Prerequisites: BIOL 131 (FORS 121 may be substituted for BIOL 131 with the permission of the instructor),NA
10402,BIOL,301,A,Genetics,4,L Jones,TR,930,1045,,NA,NA,Woods Laboratories 103,24,17,Available: 7,Non-Lab Science; Open only to seniors,NA
10403,BIOL,310,A,Plant Evolution and Systematics (Lab),4,J Evans,TR,1100,1215,T,1330,1630,Woods Laboratories G9,16,6,Available: 10,Lab Science; Prerequisites: One course in biology,NA
10706,BIOL,321,A,Cellular Biology (Lab),4,H Croom,MWF,900,950,R,1330,1630,Woods Laboratories 103,16,2,Available: 14,Lab Science,NA
10405,BIOL,330,A,Immunology (Lab),4,J Palisano,MWF,1000,1050,W,1330,1630,Woods Laboratories 103,16,11,Available: 5,Lab Science; Prerequisite: BIOL 132,NA
Chemistry,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10406,CHEM,101,A,General Chemistry I (Lab),4,J Bordley,MWF,900,950,,NA,NA,Woods Laboratories BLACKMAN,36,25,Available: 11,Lab Science,NA
10407,CHEM,101,B,General Chemistry I (Lab),4,D Miles,MWF,1000,1050,,NA,NA,Woods Laboratories BLACKMAN,36,27,Available: 9,Lab Science,NA
10408,CHEM,101,L1,General Chemistry I (Lab),0,J Bordley,M,1330,1630,,NA,NA,Woods Laboratories 202,18,16,Available: 2,Lab Science,NA
10409,CHEM,101,L2,General Chemistry I (Lab),0,D Miles,T,1330,1630,,NA,NA,Woods Laboratories 202,18,13,Available: 5,Lab Science,NA
10410,CHEM,101,L3,General Chemistry I (Lab),0,C Fitz,W,1330,1630,,NA,NA,Woods Laboratories 202,18,10,Available: 8,Lab Science,NA
10411,CHEM,101,L4,General Chemistry I (Lab),0,E Kirven,R,1330,1630,,NA,NA,Woods Laboratories 202,18,13,Available: 5,Lab Science,NA
10412,CHEM,102,A,General Chemistry II (Lab),4,J Shibata/R Summers,MWF,900,950,M,1330,1630,Woods Laboratories 217,15,10,Available: 5,Lab Science; Prerequisite: CHEM 101,NA
10413,CHEM,201,A,Organic Chemistry I (Lab),4,K Walsh,MWF,800,850,,NA,NA,Woods Laboratories 216,48,38,Available: 10,Lab Science; Prerequisite: CHEM 102,NA
10414,CHEM,201,L1,Organic Chemistry I (Lab),0,E Kirven,M,1330,1630,,NA,NA,Woods Laboratories 205,16,13,Available: 3,Lab Science,NA
10415,CHEM,201,L2,Organic Chemistry I (Lab),0,K Walsh,T,1330,1630,,NA,NA,Woods Laboratories 205,16,14,Available: 2,Lab Science,NA
10416,CHEM,201,L3,Organic Chemistry I (Lab),0,K Walsh,W,1330,1630,,NA,NA,Woods Laboratories 205,16,12,Available: 4,Lab Science,NA
10418,CHEM,307,A,Mechanistic Biochemistry (Lab),4,R Summers,MWF,1100,1150,W,1330,1630,Woods Laboratories 216,15,5,Available: 10,Lab Science; Prerequisites: BIOL 101 and BIOL 103 and BIOL 105 and BIOL 131 and BIOL 132; Pre- or Corequisites: CHEM 101 and CHEM 102 and CHEM 201 and CHEM 202 and CHEM 207,NA
10417,CHEM,352,A,Thermodynamics and Kinetics (Lab),4,J Shibata,TR,800,915,R,1330,1630,Woods Laboratories 216,20,9,Available: 11,Lab Science; Prerequisites: CHEM 102 and MATH 102; Pre- or Corequisite: PHYS 102,NA
10422,CHEM,405,A,Advanced Topics in Organic Chemistry,4,E Kirven,TR,1100,1215,,NA,NA,Woods Laboratories 217,15,4,Available: 11,Non-Lab Science; Prerequisite: CHEM 202,NA
10777,CHEM,428,A,Advanced Topics in Analytical Chemistry,4,D Miles,TR,930,1045,,NA,NA,Woods Laboratories 217,15,1,Available: 14,Non-Lab Science; Pre- or Corequisite: CHEM 311 and CHEM 352,NA
Classics,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10647,CLST,110,A,Myth and Monuments,4,D Huber,MWF,900,950,,NA,NA,St. Luke's 112,14,14,Closed,Writing Intensive,NA
10648,GREK,103,A,Elementary Greek I,4,J Bruss,MWF,900,950,R,1300,1350,St. Luke's 104,20,3,Available: 17,,NA
10649,GREK,203,A,Intermediate Greek,4,D Huber,MWF,1200,1250,R,1215,1300,St. Luke's 104,20,6,Available: 14,Prerequisite: GREK 104,NA
10710,GREK,304,A,Greek Historians II,4,J Bruss,TBA,NA,NA,,NA,NA,TBA,20,2,Available: 18,Prerequisite: GREK 301,NA
10651,LATN,103,A,Elementary Latin I,4,C McDonough,MWF,1100,1150,T,1300,1350,St. Luke's 112,30,23,Available: 7,,NA
10652,LATN,104,A,Elementary Latin II,4,D Seiters,MWF,1100,1150,R,1300,1350,Walsh-Ellett Hall 312,25,12,Available: 13,Prerequisite: LATN 103,NA
10653,LATN,203,A,Intermediate Latin,4,D Seiters,MWF,800,850,T,1300,1350,St. Luke's 202,25,21,Available: 4,Prerequisite: LATN 104,NA
10654,LATN,301,A,Introduction to Latin Epic,4,J Bruss,MWF,1000,1050,,NA,NA,St. Luke's 204,25,17,Available: 8,Prerequisite: LATN 203,NA
10655,LATN,305,A,Elegiac Poets,4,D Seiters,TR,1100,1215,,NA,NA,St. Luke's 202,20,11,Available: 9,Prerequisite: LATN 301,NA
10656,LATN,409,A,Caesar,4,C McDonough,TR,930,1045,,NA,NA,St. Luke's 104,20,12,Available: 8,Prerequisite: LATN 301,NA
Collegiate Courses,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10350,NOND,101,A,The Struggle between Good and Evil: Fairy Tales in Literature and Music,4,J Davidheiser/S Shrader,TR,1100,1215,,NA,NA,St. Luke's 214,14,14,Closed,Writing Intensive; Open only to freshmen,NA
10420,NOND,102,A,The Science of Color,4,J Bordley,TR,930,1045,,NA,NA,Woods Laboratories 227,15,14,Available: 1,Non-Lab Science; Writing Intensive; Open only to freshmen; Prerequisites: MATH 101 and MATH 102 and MATH 204 and MATH 207 and MATH 210 and ENGL 101 and BIOL 300 and PHYS 200 and MUSC 101 and MUSC 102,NA
10421,NOND,401,A,Literary Criticism,4,D Richardson,M,1400,1630,,NA,NA,Walsh-Ellett Hall 202,12,9,Available: 3,Writing Intensive,NA
Computer Science,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10779,CSCI,101,A,Introduction to Computer Science,4,S Carl,MWF,900,950,,NA,NA,Woods Laboratories 136,15,4,Available: 11,,NA
10704,CSCI,105,A,,4,L Dale,TR,1100,1215,,NA,NA,Woods Laboratories 136,14,9,Available: 5,Writing Intensive; Open only to freshmen,NA
10684,CSCI,157,A,Introduction to Programming,4,W Haight/S Carl,TR,930,1045,R,1300,1600,Woods Laboratories 136,15,11,Available: 4,,NA
10685,CSCI,257,A,Data Structures,4,S Carl,MWF,800,850,,NA,NA,Woods Laboratories 136,15,2,Available: 13,Prerequisite: CSCI 157,NA
10686,CSCI,270,A,Computer Organization,4,L Dale,MWF,1100,1150,,NA,NA,Woods Laboratories 136,25,4,Available: 21,Prerequisite: CSCI 157,NA
10687,CSCI,320,A,Analysis of Algorithms,4,L Dale,MWF,1000,1050,,NA,NA,Woods Laboratories 136,25,5,Available: 20,Prerequisites: CSCI 257 and MATH 215,NA
10689,CSCI,411,A,Computer Networks and Architecture,4,L Lankewicz,TR,930,1045,,NA,NA,Woods Laboratories 119,25,2,Available: 23,Prerequisite: CSCI 270,NA
Earth & Environmental Systems,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10351,FORS,121,A,Introduction to Forestry (Lab),4,D DeBell,MWF,1000,1050,W,1330,1630,Snowden Hall 211,24,19,Available: 5,Lab Science; Reserved Seats: returning freshmen-6 (2 available),NA
10352,FORS,121,B,Introduction to Forestry (Lab),4,K Kuers,TR,930,1045,T,1330,1630,Snowden Hall 211,24,17,Available: 7,Lab Science; Reserved Seats: returning freshmen-6 (3 available),NA
10353,FORS,211,A,Dendrology (Lab),4,K Kuers,MWF,900,950,M,1330,1630,Snowden Hall 211,18,14,Available: 4,Lab Science; Open only to sophomores, juniors, and seniors,NA
10354,FORS,212,A,Forestry in the Developing World,4,K Smith,MWF,800,850,,NA,NA,Snowden Hall 211,18,21,Closed,Non-Lab Science,NA
10355,FORS,240,A,Special Topics in Forestry: Forest Health,4,D DeBell,TR,1100,1215,,NA,NA,Snowden Hall 211,18,20,Closed,,NA
10356,FORS,303,A,Soils (Lab),4,S Torreano,MWF,800,850,T,1330,1630,Snowden Hall 102,12,3,Available: 9,Lab Science; Prerequisites: GEOL 121 or FORS 121 or BIOL 131,NA
10357,FORS,319,A,Natural Resource Management and Decisions,4,S Torreano,TR,930,1045,,NA,NA,Snowden Hall 209,15,18,Closed,Prerequisites: ECON 101 and FORS 121,NA
10358,FORS,332,A,Junior Presentations,2,B Potter and others,MWF,1100,1150,,NA,NA,Snowden Hall 209,30,17,Available: 13,Open only to juniors pursuing majors in forestry, geology, natural resources, or natural resources and the environment,NA
10359,GEOL,121,A,Physical Geology (Lab),4,B Potter,MWF,800,850,T,1330,1630,Snowden Hall 209,20,23,Closed,Lab Science; Open only to freshmen,NA
10360,GEOL,121,B,Physical Geology (Lab),4,S Shaver,TR,1100,1215,R,1330,1630,Snowden Hall 102,20,19,Available: 1,Lab Science,NA
10361,GEOL,225,A,Sedimentology (Lab),4,B Potter,MWF,1000,1050,W,1330,1630,Snowden Hall 102,24,14,Available: 10,Lab Science; Prerequisite: GEOL 121,NA
10362,GEOL,230,A,Paleoecology,4,M Knoll,TR,1100,1215,,NA,NA,Snowden Hall 209,24,11,Available: 13,Non-Lab Science; Prerequisite: GEOL 121,NA
10363,GEOL,235,A,Earth Systems and Climate Change,4,M Knoll,TR,800,915,,NA,NA,Snowden Hall 209,24,26,Closed,Non-Lab Science; Prerequisite: GEOL 121,NA
10364,GEOL,332,A,Junior Presentations,2,B Potter and others,MWF,1100,1150,,NA,NA,Snowden Hall 209,30,17,Available: 13,Open only to juniors pursuing majors in forestry, geology, natural resources, or natural resources and the environment,NA
Economics,,NA,,,,,,NA,NA,,NA,NA,,NA,NA,,,NA
10314,ECON,101,A,Introduction to Economics,4,Y Mohiuddin,TR,1100,1215,,NA,NA,Walsh-Ellett Hall 304,20,19,Available: 1,,NA
